question,answer
Không vừa không trả ship,"Dạ em rất tiếc vì sản phẩm chị đặt không vừa, bên em cũng mong muốn gửi sản phẩm đến tay khách hàng nhận mặc vừa và đẹp lắm ạ. Tuy nhiên vì sản phẩm bên em nhập theo thông số size chung nên không thể tránh khỏi việc mặc chật hoặc rộng tuỳ theo số đo của mỗi người ạ. Trong trường hợp này mình vui lòng thanh toán giúp em 30k phí ship phụ cho bên vận chuyển để họ giao váy về chị nha"
Nhận hàng có được kiểm tra hàng không?,"Mình được KIỂM TRA hàng thoải mái và có thể ướm thử lên dáng, bên em bán hàng chất lượng nên mình yên tâm đặt hàng ạ!"
Delay nhiều lần,"Chị ơi, em thấy đơn hàng mình bưu tá đi giao nhiều lần nhưng không được, không biết chị gặp khó khăn gì mà không nhận được hàng vậy ạ?"
Có được thử không?,"Dạ bên em hỗ trợ kiểm tra hàng, KHÔNG THỬ ạ. Chị yêu có thể ướm qua bên ngoài. Trong trường hợp chị nhận đơn rồi mà không vừa bên em sẵn sàng đổi size cho chị tận nơi chị yêu an tâm nha!"
Không nghe máy,"Chị ơi, bên vận chuyển báo không liên hệ được với chị ạ, chị có nhận được cuộc gọi nào từ ship không ạ?"
Hàng có y hình không?,"Bên em gửi chị hàng y hình 100%, nhận hàng chị kiểm tra kỹ giúp em, nếu bên em gửi sai mẫu chị cứ gửi lại không mất phí gì hết ạ"
Thanh toán tiền ship,"Dạ chị ơi, em vừa thấy bên vận chuyển báo lại là đơn hàng chị không ưng và hoàn về, tuy nhiên chưa được thanh toán phí ship. Chị vui lòng thanh toán phí ship hoàn hàng là 30k giúp em ạ [GỬI KÈM ẢNH STK]"
Thông tin về màu,"Bộ có 3 màu: xanh, đỏ, đen. Chị chọn màu em lên đơn cho chị nhé ạ"
Sợ mua về không giống hình,"Dạ em hiểu ạ, tâm lý mua hàng ai cũng vậy đấy chị, cứ sợ mua hàng về không đẹp, không giống hình. Chính vì thế nên bên em luôn đặt chất lượng sản phẩm lên hàng đầu, khách hàng được phép kiểm tra hàng, sờ chất, so sánh trước khi thanh toán. Hình thức thanh toán là COD, khách hàng trả tiền ngay sau khi hài lòng với sản phẩm, tất cả những lợi thế đều thuộc về phía khách hàng chị ạ. Bên em mong 1 khách đến vạn lần, chứ không mong vạn khách đến 1 lần. Sản phẩm có giá hợp lý, đi kèm với chất lượng, chị hoàn toàn có thể yên tâm về vấn đề này chị nhé."
Màu không giống,"Dạ do điều kiện ánh sáng khác nhau và độ phân giải của mỗi dòng máy sẽ có sự chênh lệch về màu sắc đôi chút với mắt nhìn thực tế đôi chút k tránh khỏi nhé ạ. Màu mặc lên vẫn xinh tôn da và trẻ trung lắm ạ, chị yêu yên tâm ạ"
Sao giá đắt vậy,"Bên em luôn đặt chất lượng lên hàng đầu, giá thành đi kèm với chất lượng chị ạ. Mua 1 sản phẩm quần chất lượng, giá thành hợp lý, mặc được lâu dài mà bền thì tính ra sẽ rẻ hơn rất nhiều những mẫu mã hàng chợ đó ạ. Nếu chị thực sự thích chiếc mẫu này, em sẽ bớt cho chị còn ... miễn ship ạ"
Giá cao không mua,"Dạ mẫu này em sale giá rẻ nhất thị trường rồi, mẫu này ngoài shop bán không dưới 200k 1 set đâu ạ, bên em nhập hàng số lượng lớn mới có giá rẻ thế này đó chị, em không giảm giá thêm được ạ, chị cân nhắc đặt hàng nhắn em sớm chị nha"
Kiểu dáng,Tư vấn linh động tuỳ theo sản phẩm đang bán
Có ảnh thật không?,"Tất cả ảnh em post lên đều là ảnh thật đấy chị ạ. Nhận hàng chị cứ kiểm tra hàng thoải mái, đúng hình đúng mẫu đúng chất mới thanh toán nên chị yên tâm nhé ạ"
Chất liệu,"Dạ mẫu này có chất liệu ... mặc chuẩn form, không bai xù, thoáng mát mặc lên dáng siêu dễ chịu thích lắm ạ!"
Có cửa hàng không?,"Dạ bên em hiện đang bán online tại Hà Nội thui ạ, mua hàng bên em mình được kiểm hàng thoải mái, chính sách bên em hỗ trợ đổi size, đổi mẫu tận nơi nên chị an tâm khi mua hàng bên shop nha."
Mẫu hết hàng,"Dạ tiếc quá, mẫu này bên em hết hàng và không về thêm nữa mất rồi ạ 😞 Chị yêu tham khảo qua các sản phẩm khác bên em nha ❤️"
Quyền lợi chung,"CAM KẾT TỪ [TÊN SHOP]:
 - Chị được kiểm tra hàng thoải mái trước khi nhận (KHÔNG THỬ)
 - Chính sách đổi hàng nhanh chóng, linh hoạt, hỗ trợ 24/24
 - Đảm bảo đúng sản phẩm, mẫu mã và chất lượng
 Chị yêu yên tâm đặt hàng nha ạ 😍"
Hàng order,"Dạ mẫu này thuộc Bộ sưu tập vừa ra mắt nên hiện shop chưa sẵn, chị yêu chờ giúp shop 7-10 ngày, hàng về shop ưu tiên gửi đơn đi luôn cho mình luôn nha 💕"
Kiểm tra,"Mình được KIỂM TRA hàng thoải mái và có thể ướm thử lên dáng, bên em bán hàng chất lượng nên mình yên tâm đặt hàng ạ!"
Không mua,"Dạ cảm ơn chị đã ghé shop, rất mong được phục vụ chị vào dịp gần nhất ạ!"
Trả hàng,"Dạ chị yêu kiểm tra hàng nếu phát hiện bên em gửi sai size, sai mẫu chị hoàn hàng không mất ship ạ. Còn nếu mình không ưng ý vì lý do cá nhân chị hỗ trợ ship 30k công họ đi giao hàng giúp em nha"
Khách feedback tốt,Dạ shop cảm ơn chị yêu nhiều đã tin tưởng và ủng hộ shop ạ! Hy vọng shop vẫn được đồng hành hỗ trợ chị ở những sản phẩm khác bên em ạ 😘
Đổi hàng,"Dạ bên em hỗ trợ đổi hàng tận nơi ạ, chị yêu gói đơn hàng lại giúp em nguyên như ban đầu rồi đợi em ship sản phẩm mới tới, nhận hàng mình đưa đơn cũ lại cho ship giúp em là được nha chị!"
Không hài lòng,"Dạ em rất tiếc khi mình có trải nghiệm mua hàng chưa hài lòng ạ. Shop mong chị thông cảm cho những thiếu sót trong dịch vụ và sản phẩm, bên em sẽ ghi nhận và cải thiện hơn ạ!"
Freeship,Dạ mẫu này bên em đang có chương trình miễn ship khi mua từ 2 bộ trở lên chị ạ. Chị yêu đặt 2 bộ tiện thay đổi nha 🥰
Khách từng boom hàng muốn đặt lại,"Dạ chị ơi, hệ thống bên em ghi nhận chị đã từng hoàn đơn bên em, chị chắc chắn muốn đặt lại mình cọc giúp em 50k để bên em gửi đơn cho chị nhé ạ"
Cách đổi,"Dạ bên em hỗ trợ đổi hàng tận nơi ạ, chị yêu gói đơn hàng lại giúp em nguyên như ban đầu rồi đợi em ship sản phẩm mới tới, nhận hàng mình đưa đơn cũ lại cho ship giúp em là được nha chị!"
Thông tin nhận hàng,Dạ chị yêu ưng mẫu này cho em xin thông tin số điện thoại + địa chỉ cụ thể em gửi hàng cho mình ạ?
Quy định đổi hàng,"🤍Dạ shop gửi chị quy định đổi hàng:
 - Shop hỗ trợ đổi hàng trong vòng 5 ngày kể từ khi KH nhận được sản phẩm
 - Phí ship 2 chiều đổi là 30k
 - Tình trạng sản phẩm còn nguyên tag, phải còn nguyên vẹn như lúc nhận, chưa qua sử dụng,...
 Shop hỗ trợ đổi size/ màu/ sản phẩm khác ngang hoặc hơn giá trị đã mua sản phẩm ban đầu (Đối với sản phẩm có màu trắng khách hàng lưu ý gửi sản phẩm về shop kiểm tra trước)
 *Lưu ý: Shop chỉ hỗ trợ đổi 1 lần duy nhất 🤍"
Thời gian giao vận,Dạ thời gian giao vận sẽ phụ thuộc vào bên vận chuyển nên shop k chắc chắn được 100% về ngày chị nhận hàng ạ. Thường ship đến địa chỉ của chị sẽ mất tầm ... ngày. Chị cần gấp có thể tham khảo đặt hàng luôn shop báo kho gửi đơn đi sớm để chị nhận được đơn sớm nhất có thể nhé ạ
Freeship mới mua,"Dạ mẫu này bên em đang có giá ưu đãi tốt nhất thị trường rồi ạ, chị yêu mua 1 bộ bên em chưa miễn ship được ạ. Chi phí ship toàn quốc bên em có 30k thôi ạ, vừa rẻ vừa chắc chắn chị nhận được hàng sớm luôn ạ 😍"
Upsale,"Dạ hiện bên em đang có chương trình mua 2 sản phẩm trở lên sẽ được miễn ship đó ạ, chị yêu chọn thêm 1 màu vừa tiện thay đổi lại còn được miễn ship nha?"
Giặt là,"Dạ bên em ưu tiên sự tiện lợi và thoải mái cho khách hàng ạ, mẫu này vải bền dễ bảo quản lắm ạ, chị yêu giặt tay hay giặt máy đều được nha"
Tổng đơn,"Dạ em nhận thông tin chốt đơn cho chị nhé. Đơn của chị gồm 2 bộ màu ĐEN + NÂU size L, tổng hết 260,000VND, miễn ship ạ. 
 📍Thời gian nhận hàng (không tính ngày nghỉ/lễ - phụ thuộc 100% vào đơn vị vận chuyển).
 - Khu vực miền Bắc: 2-3 ngày
 - Khu vực miền Trung: 3-4 ngày
 - Khu vực miền Nam và miền Tây: 3-6 ngày
 Chị để ý điện thoại nghe máy nhận hàng giúp e nhé, cảm ơn chị đã tin tưởng và ủng hộ shop ạ!
 [ẢNH CHÍNH SÁCH]"
Băn khoăn màu sắc,"Dạ các màu bên em đều dễ mặc, tôn da, không bị kén da đâu chị yên tâm ạ. Nhiều khách hàng bên em cũng khá băn khoăn khi mua sản phẩm, nhưng khi nhận được sản phẩm thì các chị khách ưng và khen nhiều lắm chị à"
"Băn khoăn về chất liệu (Nóng bí, vải nhăn, thô cứng,...)","Dạ chất này mềm mịn và thoáng lắm chị ạ, mặc cả ngày vẫn dễ chịu nên chị yên tâm nhé ạ"
Remind mẫu 1,Dạ chị ơi mình còn đó không ạ em k thấy chị phản hồi. K biết chị đang bận hay phân vân gì về sản phẩm để em tư vấn thật kỹ cho chị ạ?
Remind mẫu 2,"Cảm ơn chị yêu đã dành thời gian để ghé shop bên em, chương trình sale bên em áp dụng đến hết ngày hôm nay thôi ạ. Chị yêu tranh thủ đặt hàng để bên em kịp giữ size, giữ mẫu cho mình nha!"
Remind mẫu 3,"Bên em tuyệt đối KHÔNG bán hàng kém chất lượng đâu chị ạ
 Chị kiểm hàng sờ tay vào vải, xem hàng tận mắt là biết ngay ạ. Mình thử 1 lần trải nghiệm sản phẩm bên em chị nhé ❤️"
Remind mẫu 4,"100 lời quảng cáo không bằng 1 lần trải nghiệm chị ạ. Mình được kiểm tra hàng trước khi nhận, hàng đảm bảo chuẩn chất lượng, mẫu mã, đúng size số. Chị thử 1 lần nha chị!"
"Băn khoăn không cụ thể (Để chị xem thêm,...)","Dạ hàng bên em còn số lượng giới hạn mà sản phẩm đang được sale nên rất nhanh cháy hàng đó ạ, chị cân nhắc đặt hàng sớm nha!"
Remind mẫu 5,"Shop cam kết luôn mang đến cho khách hàng 1 sản phẩm đẹp chuẩn form dáng.
 Chị được kiểm tra chất lượng của sản phẩm ƯNG Ý MỚI NHẬN HÀNG Em chắc chắn sẽ khiến chị hài lòng...❤️"
Remind mẫu 6,"Chị chỉ cần trao cho shop 1% niềm tin, shop sẽ trao trả chị 100% chất lượng ạ ❤️
 Em TỰ TIN chất lượng như em tư vấn 👍 mình được KIỂM TRA hàng tận tay trước khi thanh toán nha, đúng hàng mình nhận chị iu nha ❤️"
Remind mẫu 7,Chị có điều gì còn lăn tăn về giá cả hay chất lượng sản phẩm không ạ? Em rất sẵn lòng hỗ trợ chị để mình có quyết định tốt nhất ạ !
Remind mẫu 8,"Dạ em tự tin là em bán hàng đẹp, chuẩn cao cấp . Em bán là em lấy khách quen, khách ruột, chứ không bán một lần. Nhận hàng mình được KIỂM TRA thoải mái trước khi thanh toán nên mình yên tâm chị nhé !!
 Chị iu lấy thử 1c diện xinh nha ❤️ ❤️"
Remarketing lần 1 (sau 1 ca),"Chị yêu ơi, mẫu này bên em hiện đang được sale mạnh chỉ còn 100 chiếc cuối cùng, bên em xả kho giá cực ƯU ĐÃI chỉ còn 119k/ bộ, MIỄN SHIP ngay khi mua từ 2 bộ ạ. Chị yêu đặt hàng cho em xin chiều cao + cân nặng em tư vấn và chốt đơn để mình kịp mua với giá ưu đãi nha!"
Remarketing lần 2 (sau 2 ngày),"ƯU ĐÃI CỰC SHOCK! - Bộ này bên em nay sale chỉ còn 109k/bộ, MIỄN SHIP NGAY khi mua từ 2 bộ DUY NHẤT HÔM NAY!!! 
 SỐ LƯỢNG GIỚI HẠN chị yêu tranh thủ đặt hàng em chốt đơn cho mình nha ❤️"
